name,repository,Licence,Licence file,Misc
mecab,https://github.com/taku910/mecab/,BSD-3Clause,https://github.com/taku910/mecab/blob/master/mecab/BSD,
mecab-python3,https://github.com/SamuraiT/mecab-python3,BSD-3Clause,https://github.com/SamuraiT/mecab-python3/blob/master/BSD,
mecab-ipadic-neologd,https://github.com/neologd/mecab-ipadic-neologd,Apache-2.0,https://github.com/neologd/mecab-ipadic-neologd/blob/master/COPYING,
mecab-unidic-neologd,https://github.com/neologd/mecab-unidic-neologd,Apache-2.0,https://github.com/neologd/mecab-unidic-neologd/blob/master/COPYING,
IPADic,,??,,Will be removed for license term?
UniDic,https://clrd.ninjal.ac.jp/unidic/,BSD-3Clause,https://clrd.ninjal.ac.jp/unidic/copying/BSD,
Juman++,https://github.com/ku-nlp/jumanpp,Apache-2.0,https://github.com/ku-nlp/jumanpp/blob/master/LICENSE,
Sudachi,https://github.com/WorksApplications/Sudachi,Apache-2.0,https://github.com/WorksApplications/Sudachi/blob/develop/LICENSE-2.0.txt,
sudachiPy,https://github.com/WorksApplications/SudachiPy,Apache-2.0,https://github.com/WorksApplications/SudachiPy/blob/develop/LICENSE,
chiVe,https://github.com/WorksApplications/chiVe,Apache-2.0,https://github.com/WorksApplications/chiVe/blob/master/LICENSE,
gensim,https://github.com/piskvorky/gensim,LGPL-2.1 license,https://github.com/piskvorky/gensim/blob/develop/COPYING,
ginza,https://github.com/megagonlabs/ginza,MIT,https://github.com/megagonlabs/ginza/blob/develop/LICENSE,
spacy,https://github.com/explosion/spaCy,MIT,https://github.com/explosion/spaCy/blob/master/LICENSE,
transformers,https://github.com/huggingface/transformers,Apache-2.0,https://github.com/huggingface/transformers/blob/main/LICENSE,
sentencepiece,https://github.com/google/sentencepiece,Apache-2.0,https://github.com/google/sentencepiece/blob/master/LICENSE,
scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3Clause,https://github.com/scikit-learn/scikit-learn/blob/main/COPYING,
WikiEntVec,https://github.com/singletongue/WikiEntVec,MIT,https://github.com/singletongue/WikiEntVec/blob/master/LICENSE,
cc.ja.300,https://fasttext.cc/docs/en/crawl-vectors.html,CC BY-SA 3.0 DEED,https://fasttext.cc/docs/en/crawl-vectors.html,
cl-tohoku/bert-base-japanese-v3,https://huggingface.co/cl-tohoku/bert-base-japanese-v3,Apache-2.0,https://huggingface.co/cl-tohoku/bert-base-japanese-v3,
Cinnamon/electra-small-japanese-discriminator,https://huggingface.co/Cinnamon/electra-small-japanese-discriminator,Apache-2.0,https://huggingface.co/Cinnamon/electra-small-japanese-discriminator,
pkshatech/GLuCoSE-base-ja,https://huggingface.co/pkshatech/GLuCoSE-base-ja,Apache-2.0,https://huggingface.co/pkshatech/GLuCoSE-base-ja,
line-corporation/line-distilbert-base-japanese,https://huggingface.co/line-corporation/line-distilbert-base-japanese,Apache-2.0,https://huggingface.co/line-corporation/line-distilbert-base-japanese,
studio-ousia/luke-japanese-base-lite,https://huggingface.co/studio-ousia/luke-japanese-base-lite,Apache-2.0,https://huggingface.co/studio-ousia/luke-japanese-base-lite,
colorfulscoop/sbert-base-ja,https://huggingface.co/colorfulscoop/sbert-base-ja,CC BY-SA 4.0,https://huggingface.co/colorfulscoop/sbert-base-ja,
sonoisa/sentence-bert-base-ja-mean-tokens-v2,https://huggingface.co/sonoisa/sentence-bert-base-ja-mean-tokens-v2,CC BY-SA 4.0,https://huggingface.co/sonoisa/sentence-bert-base-ja-mean-tokens-v2,
